name, description
ウォルフ狩人, ウォルフ族のモンスターを初めて討伐する
ウォルフ狩人Lv2, ウォルフ族のモンスターを累計60体討伐する
ウォルフ狩人Lv3, ウォルフ族のモンスターを累計70体討伐する
ウォルフ狩人Lv4, ウォルフ族のモンスターを累計80体討伐する
ウォルフ狩人皆伝, ウォルフ族のモンスターを累計90体討伐する
ウォルフ闘士, ウォルフ族のモンスターを累計100体討伐する
ウォルフ闘士Lv2, ウォルフ族のモンスターを累計150体討伐する
ウォルフ闘士Lv3, ウォルフ族のモンスターを累計200体討伐する
ウォルフ闘士Lv4, ウォルフ族のモンスターを累計250体討伐する
ウォルフ闘士皆伝, ウォルフ族のモンスターを累計300体討伐する
ウォルフ達人, ウォルフ族のモンスターを累計400体討伐する
ウォルフ達人Lv2, ウォルフ族のモンスターを累計450体討伐する
ウォルフ達人Lv3, ウォルフ族のモンスターを累計500体討伐する
ウォルフ達人Lv4, ウォルフ族のモンスターを累計550体討伐する
ウォルフ達人皆伝, ウォルフ族のモンスターを累計600体討伐する
ウォルフマスター, ウォルフ族のモンスターを累計1000体討伐する
新人ゴブリン狩人, ゴブリン族のモンスターを初めて討伐する
新人ゴブリン狩人Lv2, ゴブリン族のモンスターを累計10体討伐する
新人ゴブリン狩人Lv3, ゴブリン族のモンスターを累計20体討伐する
新人ゴブリン狩人Lv4, ゴブリン族のモンスターを累計30体討伐する
新人ゴブリン狩人皆伝, ゴブリン族のモンスターを累計40体討伐する
ゴブリン狩人, ゴブリン族のモンスターを累計50体討伐する
ゴブリン狩人Lv2, ゴブリン族のモンスターを累計60体討伐する
ゴブリン狩人Lv3, ゴブリン族のモンスターを累計70体討伐する
ゴブリン狩人Lv4, ゴブリン族のモンスターを累計80体討伐する
ゴブリン狩人皆伝, ゴブリン族のモンスターを累計90体討伐する
ゴブリン闘士, ゴブリン族のモンスターを累計100体討伐する
ゴブリン闘士Lv2, ゴブリン族のモンスターを累計150体討伐する
ゴブリン闘士Lv3, ゴブリン族のモンスターを累計200体討伐する
ゴブリン闘士Lv4, ゴブリン族のモンスターを累計250体討伐する
ゴブリン闘士皆伝, ゴブリン族のモンスターを累計300体討伐する
ゴブリン達人, ゴブリン族のモンスターを累計400体討伐する
ゴブリン達人Lv2, ゴブリン族のモンスターを累計450体討伐する
ゴブリン達人Lv3, ゴブリン族のモンスターを累計500体討伐する
ゴブリン達人Lv4, ゴブリン族のモンスターを累計550体討伐する
ゴブリン達人皆伝, ゴブリン族のモンスターを累計600体討伐する
ゴブリンマスター, ゴブリン族のモンスターを累計1000体討伐する
新人ゴースト狩人, ゴースト族のモンスターを初めて討伐する
新人ゴースト狩人Lv2, ゴースト族のモンスターを初めて討伐する
新人ゴースト狩人Lv3, ゴースト族のモンスターを初めて討伐する
新人ゴースト狩人Lv4, ゴースト族のモンスターを初めて討伐する
新人ゴースト狩人皆伝, ゴースト族のモンスターを初めて討伐する
ゴースト狩人, ゴースト族のモンスターを累計50体討伐する
ゴースト狩人Lv2, ゴースト族のモンスターを累計60体討伐する
ゴースト狩人Lv3, ゴースト族のモンスターを累計70体討伐する
ゴースト狩人Lv4, ゴースト族のモンスターを累計80体討伐する
ゴースト狩人皆伝, ゴースト族のモンスターを累計90体討伐する
ゴースト闘士, ゴースト族のモンスターを累計100体討伐する
ゴースト闘士Lv2, ゴースト族のモンスターを累計150体討伐する
ゴースト闘士Lv3, ゴースト族のモンスターを累計200体討伐する
ゴースト闘士Lv4, ゴースト族のモンスターを累計250体討伐する
ゴースト闘士皆伝, ゴースト族のモンスターを累計300体討伐する
ゴースト達人, ゴースト族のモンスターを累計400体討伐する
ゴースト達人Lv2, ゴースト族のモンスターを累計450体討伐する
ゴースト達人Lv3, ゴースト族のモンスターを累計500体討伐する
ゴースト達人Lv4, ゴースト族のモンスターを累計550体討伐する
ゴースト達人皆伝, ゴースト族のモンスターを累計600体討伐する
ゴーストマスター, ゴースト族のモンスターを累計1000体討伐する
新人キノコ狩人, キノコ族のモンスターを初めて討伐する
新人キノコ狩人Lv2, キノコ族のモンスターを累計10体討伐する
新人キノコ狩人Lv3, キノコ族のモンスターを累計20体討伐する
新人キノコ狩人Lv4, キノコ族のモンスターを累計30体討伐する
新人キノコ狩人皆伝, キノコ族のモンスターを累計40体討伐する
キノコ狩人, キノコ族のモンスターを累計50体討伐する
キノコ狩人Lv2, キノコ族のモンスターを累計60体討伐する
キノコ狩人Lv3, キノコ族のモンスターを累計70体討伐する
キノコ狩人Lv4, キノコ族のモンスターを累計80体討伐する
キノコ狩人皆伝, キノコ族のモンスターを累計90体討伐する
キノコ闘士, キノコ族のモンスターを累計100体討伐する
キノコ闘士Lv2, キノコ族のモンスターを累計150体討伐する
キノコ闘士Lv3, キノコ族のモンスターを累計200体討伐する
キノコ闘士Lv4, キノコ族のモンスターを累計250体討伐する
キノコ闘士皆伝, キノコ族のモンスターを累計300体討伐する
キノコ達人, キノコ族のモンスターを累計400体討伐する
キノコ達人Lv2, キノコ族のモンスターを累計450体討伐する
キノコ達人Lv3, キノコ族のモンスターを累計500体討伐する
キノコ達人Lv4, キノコ族のモンスターを累計550体討伐する
キノコ達人皆伝, キノコ族のモンスターを累計600体討伐する
キノコマスター, キノコ族のモンスターを累計1000体討伐する
新人カエル狩人, カエル族のモンスターを初めて討伐する
新人カエル狩人Lv2, カエル族のモンスターを累計10体討伐する
新人カエル狩人Lv3, カエル族のモンスターを累計20体討伐する
新人カエル狩人Lv4, カエル族のモンスターを累計30体討伐する
新人カエル狩人皆伝, カエル族のモンスターを累計40体討伐する
カエル狩人, カエル族のモンスターを累計50体討伐する
カエル狩人Lv2, カエル族のモンスターを累計60体討伐する
カエル狩人Lv3, カエル族のモンスターを累計70体討伐する
カエル狩人Lv4, カエル族のモンスターを累計80体討伐する
カエル狩人皆伝, カエル族のモンスターを累計90体討伐する
カエル闘士, カエル族のモンスターを累計100体討伐する
カエル闘士Lv2, カエル族のモンスターを累計150体討伐する
カエル闘士Lv3, カエル族のモンスターを累計200体討伐する
カエル闘士Lv4, カエル族のモンスターを累計250体討伐する
カエル闘士皆伝, カエル族のモンスターを累計300体討伐する
カエル達人, カエル族のモンスターを累計400体討伐する
カエル達人Lv2, カエル族のモンスターを累計450体討伐する
カエル達人Lv3, カエル族のモンスターを累計500体討伐する
カエル達人Lv4, カエル族のモンスターを累計550体討伐する
カエル達人皆伝, カエル族のモンスターを累計600体討伐する
カエルマスター, カエル族のモンスターを累計1000体討伐する
新人クモ狩人, クモ族のモンスターを初めて討伐する
新人クモ狩人Lv2, クモ族のモンスターを累計10体討伐する
新人クモ狩人Lv3, クモ族のモンスターを累計20体討伐する
新人クモ狩人Lv4, クモ族のモンスターを累計30体討伐する
新人クモ狩人皆伝, クモ族のモンスターを累計40体討伐する
クモ狩人, クモ族のモンスターを累計50体討伐する
クモ狩人Lv2, クモ族のモンスターを累計60体討伐する
クモ狩人Lv3, クモ族のモンスターを累計70体討伐する
クモ狩人Lv4, クモ族のモンスターを累計80体討伐する
クモ狩人皆伝, クモ族のモンスターを累計90体討伐する
クモ闘士, クモ族のモンスターを累計100体討伐する
クモ闘士Lv2, クモ族のモンスターを累計150体討伐する
クモ闘士Lv3, クモ族のモンスターを累計200体討伐する
クモ闘士Lv4, クモ族のモンスターを累計250体討伐する
クモ闘士皆伝, クモ族のモンスターを累計300体討伐する
クモ達人, クモ族のモンスターを累計400体討伐する
クモ達人Lv2, クモ族のモンスターを累計450体討伐する
クモ達人Lv3, クモ族のモンスターを累計500体討伐する
クモ達人Lv4, クモ族のモンスターを累計550体討伐する
クモ達人皆伝, クモ族のモンスターを累計600体討伐する
クモマスター, クモ族のモンスターを累計1000体討伐する
普通の錬金術士, 錬金LvがLv30になる
普通の錬金術士Lv2, 錬金LvがLv35になる
普通の錬金術士Lv3, 錬金LvがLv40になる
普通の錬金術士Lv4, 錬金LvがLv45になる
普通の錬金術士卒業, 錬金LvがLv50になる
ベテラン錬金術士, 錬金LvがLv55になる
ベテラン錬金術士Lv2, 錬金LvがLv60になる
ベテラン錬金術士Lv3, 錬金LvがLv65になる
ベテラン錬金術士Lv4, 錬金LvがLv70になる
ベテラン錬金術士卒業, 錬金LvがLv75になる
凄腕錬金術士, 錬金LvがLv80になる
凄腕錬金術士Lv2, 錬金LvがLv85になる
凄腕錬金術士Lv3, 錬金LvがLv90になる
凄腕錬金術士Lv4, 錬金LvがLv95になる
凄腕錬金術士卒業, 錬金LvがLv100になる
採取学入門, 初めて採取を行う
採取学入門Lv2, 採取を累計10回行う
採取学入門Lv3, 採取を累計20回行う
採取学入門Lv4, 採取を累計30回行う
採取学入門皆伝, 採取を累計40回行う
採取学駆け出し, 採取を累計50回行う
採取学駆け出しLv2, 採取を累計60回行う
採取学駆け出しLv3, 採取を累計70回行う
採取学駆け出しLv4, 採取を累計80回行う
採取学駆け出し皆伝, 採取を累計90回行う
採取学初級, 採取を累計100回行う
採取学初級Lv2, 採取を累計150回行う
採取学初級Lv3, 採取を累計200回行う
採取学初級Lv4, 採取を累計250回行う
採取学初級皆伝, 採取を累計300回行う
採取学中級, 採取を累計350回行う
採取学中級Lv2, 採取を累計400回行う
採取学中級Lv3, 採取を累計450回行う
採取学中級Lv4, 採取を累計500回行う
採取学中級皆伝, 採取を累計550回行う
採取学上級, 採取を累計600回行う
採取学上級Lv2, 採取を累計650回行う
採取学上級Lv3, 採取を累計700回行う
採取学上級Lv4, 採取を累計750回行う
採取学上級皆伝, 採取を累計800回行う
採取学達人, 採取を累計900回行う
採取学達人Lv2, 採取を累計1000回行う
採取学達人Lv3, 採取を累計1100回行う
採取学達人Lv4, 採取を累計1200回行う
採取学達人皆伝, 採取を累計1300回行う
戦闘学入門, 初めて戦闘に勝利する。
戦闘学入門Lv2, 戦闘に累計10回勝利する
戦闘学入門Lv3, 戦闘に累計20回勝利する
戦闘学入門Lv4, 戦闘に累計30回勝利する
戦闘学入門皆伝, 戦闘に累計40回勝利する
戦闘学駆け出し, 戦闘に累計50回勝利する
戦闘学駆け出しLv2, 戦闘に累計60回勝利する
戦闘学駆け出しLv3, 戦闘に累計70回勝利する
戦闘学駆け出しLv4, 戦闘に累計80回勝利する
戦闘学駆け出し皆伝, 戦闘に累計90回勝利する
戦闘学初級, 戦闘に累計100回勝利する
戦闘学初級Lv2, 戦闘に累計150回勝利する
戦闘学初級Lv3, 戦闘に累計200回勝利する
戦闘学初級Lv4, 戦闘に累計250回勝利する
戦闘学初級皆伝, 戦闘に累計300回勝利する
戦闘学中級, 戦闘に累計350回勝利する
戦闘学中級Lv2, 戦闘に累計400回勝利する
戦闘学中級Lv3, 戦闘に累計450回勝利する
戦闘学中級Lv4, 戦闘に累計500回勝利する
戦闘学中級皆伝, 戦闘に累計550回勝利する
戦闘学上級, 戦闘に累計600回勝利する
戦闘学上級Lv2, 戦闘に累計650回勝利する
戦闘学上級Lv3, 戦闘に累計700回勝利する
戦闘学上級Lv4, 戦闘に累計750回勝利する
戦闘学上級皆伝, 戦闘に累計800回勝利する
戦闘学達人, 戦闘に累計900回勝利する
戦闘学達人Lv2, 戦闘に累計1000回勝利する
戦闘学達人Lv3, 戦闘に累計1100回勝利する
戦闘学達人Lv4, 戦闘に累計1200回勝利する
戦闘学達人皆伝, 戦闘に累計1300回勝利する
生態学入門, モンスターを累計10体討伐する
生態学入門Lv2, モンスターを累計20体討伐する
生態学入門Lv3, モンスターを累計30体討伐する
生態学入門Lv4, モンスターを累計40体討伐する
生態学入門皆伝, モンスターを累計50体討伐する
生態学駆け出し, モンスターを累計80体討伐する
生態学駆け出しLv2, モンスターを累計110体討伐する
生態学駆け出しLv3, モンスターを累計140体討伐する
生態学駆け出しLv4, モンスターを累計170体討伐する
生態学駆け出し皆伝, モンスターを累計200体討伐する
生態学初級, モンスターを累計250体討伐する
生態学初級Lv2, モンスターを累計300体討伐する
生態学初級Lv3, モンスターを累計350体討伐する
生態学初級Lv4, モンスターを累計400体討伐する
生態学初級皆伝, モンスターを累計450体討伐する
生態学中級, モンスターを累計550体討伐する
生態学中級Lv2, モンスターを累計650体討伐する
生態学中級Lv3, モンスターを累計750体討伐する
生態学中級Lv4, モンスターを累計850体討伐する
生態学中級皆伝, モンスターを累計950体討伐する
生態学上級, モンスターを累計1100体討伐する
生態学上級Lv2, モンスターを累計1250体討伐する
生態学上級Lv3, モンスターを累計1400体討伐する
生態学上級Lv4, モンスターを累計1550体討伐する
生態学上級皆伝, モンスターを累計1700体討伐する
生態学達人, モンスターを累計1900体討伐する
生態学達人Lv2, モンスターを累計2100体討伐する
生態学達人Lv3, モンスターを累計2300体討伐する
生態学達人Lv4, モンスターを累計2500体討伐する
生態学達人皆伝, モンスターを累計2700体討伐する
普通の学生, 累計アカデミーポイントを300PT貯める
普通の学生Lv2, 累計アカデミーポイントを600PT貯める
普通の学生Lv3, 累計アカデミーポイントを900PT貯める
普通の学生Lv4, 累計アカデミーポイントを1200PT貯める
普通の学生卒業, 累計アカデミーポイントを1500PT貯める
クラスの人気者, 累計アカデミーポイントを2000PT貯める
クラスの人気者Lv2, 累計アカデミーポイントを2500PT貯める
クラスの人気者Lv3, 累計アカデミーポイントを3000PT貯める
クラスの人気者Lv4, 累計アカデミーポイントを3500PT貯める
クラスの人気者卒業, 累計アカデミーポイントを4000PT貯める
模範生, 累計アカデミーポイントを5000PT貯める
模範生Lv2, 累計アカデミーポイントを6000PT貯める
模範生Lv3, 累計アカデミーポイントを7000PT貯める
模範生Lv4, 累計アカデミーポイントを8000PT貯める
模範生卒業, 累計アカデミーポイントを9000PT貯める
学年代表, 累計アカデミーポイントを12000PT貯める
学年代表Lv2, 累計アカデミーポイントを15000PT貯める
学年代表Lv3, 累計アカデミーポイントを18000PT貯める
学年代表Lv4, 累計アカデミーポイントを21000PT貯める
学年代表卒業, 累計アカデミーポイントを24000PT貯める
生徒会役員, 累計アカデミーポイントを29000PT貯める
生徒会役員Lv2, 累計アカデミーポイントを34000PT貯める
生徒会役員Lv3, 累計アカデミーポイントを39000PT貯める
生徒会役員Lv4, 累計アカデミーポイントを44000PT貯める
生徒会役員卒業, 累計アカデミーポイントを49000PT貯める
生徒会副会長, 累計アカデミーポイントを59000PT貯める
生徒会副会長Lv2, 累計アカデミーポイントを69000PT貯める
生徒会副会長Lv3, 累計アカデミーポイントを79000PT貯める
生徒会副会長Lv4, 累計アカデミーポイントを89000PT貯める
生徒会副会長卒業, 累計アカデミーポイントを99000PT貯める
生徒会会長, 累計アカデミーポイントを129000PT貯める
生徒会会長Lv2, 累計アカデミーポイントを159000PT貯める
生徒会会長Lv3, 累計アカデミーポイントを189000PT貯める
生徒会会長Lv4, 累計アカデミーポイントを219000PT貯める
生徒会会長卒業, 累計アカデミーポイントを249000PT貯める
学園マスター, 累計アカデミーポイントを299000PT貯める
学園マスターLv2, 累計アカデミーポイントを349000PT貯める
学園マスターLv3, 累計アカデミーポイントを399000PT貯める
学園マスターLv4, 累計アカデミーポイントを449000PT貯める
学園マスター皆伝, 累計アカデミーポイントを499000PT貯める
友達募集, ゴブリンの巣穴の「上層の主レッドキャップ」を10回倒す
手先は器用, ゴブリンの巣穴の「上層の主レッドキャップ」を20回倒す
かわいい, ゴブリンの巣穴の「上層の主レッドキャップ」を30回倒す
わくわく, ゴブリンの巣穴の「上層の主レッドキャップ」を40回倒す
元気いっぱい, ゴブリンの巣穴の「上層の主レッドキャップ」を50回倒す
青い衝撃, ゴブリンの巣穴の「中層の主ブルーキャップ」を10回倒す
自称リーダー, ゴブリンの巣穴の「中層の主ブルーキャップ」を20回倒す
メンバー, ゴブリンの巣穴の「中層の主ブルーキャップ」を30回倒す
小人, ゴブリンの巣穴の「中層の主ブルーキャップ」を40回倒す
家族思い, ゴブリンの巣穴の「中層の主ブルーキャップ」を50回倒す
思い出集め, ゴブリンの巣穴の「下層の主ホブゴブリン」を10回倒す
愛情いっぱい, ゴブリンの巣穴の「下層の主ホブゴブリン」を20回倒す
もっともっと, ゴブリンの巣穴の「下層の主ホブゴブリン」を30回倒す
フルマラソン, ゴブリンの巣穴の「下層の主ホブゴブリン」を40回倒す
特攻隊長！, ゴブリンの巣穴の「下層の主ホブゴブリン」を50回倒す
木偶, 茨の結界の「上層の主トレント」を10回倒す
妖精さん, 茨の結界の「上層の主トレント」を20回倒す
若手, 茨の結界の「上層の主トレント」を30回倒す
回復任せて, 茨の結界の「上層の主トレント」を40回倒す
料理長, 茨の結界の「上層の主トレント」を50回倒す
ロック, 茨の結界の「中層の主エント」を10回倒す
根性, 茨の結界の「中層の主エント」を20回倒す
危機一髪, 茨の結界の「中層の主エント」を30回倒す
コック長, 茨の結界の「中層の主エント」を40回倒す
ダイエット中, 茨の結界の「中層の主エント」を50回倒す
リンゴ大好き, 茨の結界の「下層の主アップルツリーマン」を10回倒す
障害物は全部壊す！, 茨の結界の「下層の主アップルツリーマン」を20回倒す
どんどん行こう, 茨の結界の「下層の主アップルツリーマン」を30回倒す
マイペースが一番, 茨の結界の「下層の主アップルツリーマン」を40回倒す
一人前, 茨の結界の「下層の主アップルツリーマン」を50回倒す
盗人猛々しい, ダルダラ団アジトの「上層の主シーフマスター」を10回倒す
シーフ, ダルダラ団アジトの「上層の主シーフマスター」を20回倒す
トレジャーハンター, ダルダラ団アジトの「上層の主シーフマスター」を30回倒す
エース, ダルダラ団アジトの「上層の主シーフマスター」を40回倒す
盗賊王, ダルダラ団アジトの「上層の主シーフマスター」を50回倒す
引きこもり, ダルダラ団アジトの「中層の主ウンゴリアント」を10回倒す
働きもの, ダルダラ団アジトの「中層の主ウンゴリアント」を20回倒す
新参, ダルダラ団アジトの「中層の主ウンゴリアント」を30回倒す
お腹すいた, ダルダラ団アジトの「中層の主ウンゴリアント」を40回倒す
ガーディアン, ダルダラ団アジトの「中層の主ウンゴリアント」を50回倒す
我を称えよ, ダルダラ団アジトの「下層の主クイーンスパイダー」を10回倒す
美人, ダルダラ団アジトの「下層の主クイーンスパイダー」を20回倒す
クイーン, ダルダラ団アジトの「下層の主クイーンスパイダー」を30回倒す
愛の巣, ダルダラ団アジトの「下層の主クイーンスパイダー」を40回倒す
女王様, ダルダラ団アジトの「下層の主クイーンスパイダー」を50回倒す
海が好き, 海底神殿の「上層の主ナックラヴィー」を10回倒す
がお～, 海底神殿の「上層の主ナックラヴィー」を20回倒す
秘境の錬金術士, 海底神殿の「上層の主ナックラヴィー」を30回倒す
皆仲良し！, 海底神殿の「上層の主ナックラヴィー」を40回倒す
錬金王になる！, 海底神殿の「上層の主ナックラヴィー」を50回倒す
エーテル集め中！, 海底神殿の「中層の主アレン・マク・ミーナ」を10回倒す
三位一体, 海底神殿の「中層の主アレン・マク・ミーナ」を20回倒す
キメラビースト, 海底神殿の「中層の主アレン・マク・ミーナ」を30回倒す
三種の神器, 海底神殿の「中層の主アレン・マク・ミーナ」を40回倒す
海底の錬金術士, 海底神殿の「中層の主アレン・マク・ミーナ」を50回倒す
珍獣ハンター, 海底神殿の「下層の主ピアレイ」を10回倒す
運命共同体, 海底神殿の「下層の主ピアレイ」を20回倒す
トライアングラー, 海底神殿の「下層の主ピアレイ」を30回倒す
多重人格, 海底神殿の「下層の主ピアレイ」を40回倒す
海の王様, 海底神殿の「下層の主ピアレイ」を50回倒す
魔物狩り！, 煌めく小山の「上層の主でかぷに」を10回倒す
わがままボディ, 煌めく小山の「上層の主でかぷに」を20回倒す
ぷにマニア, 煌めく小山の「上層の主でかぷに」を30回倒す
調合大好き, 煌めく小山の「上層の主でかぷに」を40回倒す
コレクター, 煌めく小山の「上層の主でかぷに」を50回倒す
ダンジョンの奥へ！, 煌めく小山の「中層の主でか赤ぷに」を10回倒す
申請気鋭, 煌めく小山の「中層の主でか赤ぷに」を20回倒す
一騎当千, 煌めく小山の「中層の主でか赤ぷに」を30回倒す
熱血, 煌めく小山の「中層の主でか赤ぷに」を40回倒す
ボマー, 煌めく小山の「中層の主でか赤ぷに」を50回倒す
明日は明日の風が吹く, 煌めく小山の「下層の主でか黄ぷに」を10回倒す
スイート, 煌めく小山の「下層の主でか黄ぷに」を20回倒す
ヒーロー, 煌めく小山の「下層の主でか黄ぷに」を30回倒す
節約中, 煌めく小山の「下層の主でか黄ぷに」を40回倒す
雨乞い中！, 煌めく小山の「下層の主でか黄ぷに」を50回倒す
新人小悪魔狩人, 小悪魔族のモンスターを初めて討伐する
新人小悪魔狩人Lv2, 小悪魔族のモンスターを累計10体討伐する
新人小悪魔狩人Lv3, 小悪魔族のモンスターを累計20体討伐する
新人小悪魔狩人Lv4, 小悪魔族のモンスターを累計30体討伐する
新人小悪魔狩人皆伝, 小悪魔族のモンスターを累計40体討伐する
小悪魔狩人, 小悪魔族のモンスターを累計50体討伐する
小悪魔狩人Lv2, 小悪魔族のモンスターを累計60体討伐する
小悪魔狩人Lv3, 小悪魔族のモンスターを累計70体討伐する
小悪魔狩人Lv4, 小悪魔族のモンスターを累計80体討伐する
小悪魔狩人皆伝, 小悪魔族のモンスターを累計90体討伐する
小悪魔闘士, 小悪魔族のモンスターを累計100体討伐する
小悪魔闘士Lv2, 小悪魔族のモンスターを累計150体討伐する
小悪魔闘士Lv3, 小悪魔族のモンスターを累計200体討伐する
小悪魔闘士Lv4, 小悪魔族のモンスターを累計250体討伐する
小悪魔闘士皆伝, 小悪魔族のモンスターを累計300体討伐する
小悪魔達人, 小悪魔族のモンスターを累計400体討伐する
小悪魔達人Lv2, 小悪魔族のモンスターを累計450体討伐する
小悪魔達人Lv3, 小悪魔族のモンスターを累計500体討伐する
小悪魔達人Lv4, 小悪魔族のモンスターを累計550体討伐する
小悪魔達人皆伝, 小悪魔族のモンスターを累計600体討伐する
小悪魔マスター, 小悪魔族のモンスターを累計1000体討伐する。
新人ヘッジホッグ狩人, ヘッジホッグ族のモンスターを初めて討伐する
新人ヘッジホッグ狩人Lv2, ヘッジホッグ族のモンスターを累計10体討伐する
新人ヘッジホッグ狩人Lv3, ヘッジホッグ族のモンスターを累計20体討伐する
新人ヘッジホッグ狩人Lv4, ヘッジホッグ族のモンスターを累計30体討伐する
新人ヘッジホッグ狩人皆伝, ヘッジホッグ族のモンスターを累計40体討伐する
ヘッジホッグ狩人, ヘッジホッグ族のモンスターを累計50体討伐する
ヘッジホッグ狩人Lv2, ヘッジホッグ族のモンスターを累計60体討伐する
ヘッジホッグ狩人Lv3, ヘッジホッグ族のモンスターを累計70体討伐する
ヘッジホッグ狩人Lv4, ヘッジホッグ族のモンスターを累計80体討伐する
ヘッジホッグ狩人皆伝, ヘッジホッグ族のモンスターを累計90体討伐する
ヘッジホッグ闘士, ヘッジホッグ族のモンスターを累計100体討伐する
ヘッジホッグ闘士Lv2, ヘッジホッグ族のモンスターを累計150体討伐する
ヘッジホッグ闘士Lv3, ヘッジホッグ族のモンスターを累計200体討伐する
ヘッジホッグ闘士Lv4, ヘッジホッグ族のモンスターを累計250体討伐する
ヘッジホッグ闘士皆伝, ヘッジホッグ族のモンスターを累計300体討伐する
ヘッジホッグ達人, ヘッジホッグ族のモンスターを累計400体討伐する
