name, description, effectValue, effectValue2
ウインドスウォーム, 風を帯びた岩を呼び出し、300%のダメージを与える, 3, 0
ヒーリングシャワー, 癒しの雨を降らせ、最大ＨＰの30%回復, 0.3, 0
リバイブシャワー, 癒しの雨を降らせ、最大ＨＰの50%回復, 0.5, 0
ダウンヴェール, 魔力を放出し、魔法攻撃DOWN(小)を付与する, 3, 0
アーマーダウン, 魔力を放出し、魔法防御DOWN(小)を付与する, 3, 0
スナイプアロー, オーラを込めた矢で250%のダメージを与える, 2.5, 0
ファイアアロー, 炎を纏った矢で250%のダメージを与える, 2.5, 0
アクアアロー, 水を纏った矢で250%のダメージを与える, 2.5, 0
ブロッサムアロー, 大地の力を纏った矢で250%のダメージを与える, 2.5, 0
ウインドアロー, 風を纏った矢で250%のダメージを与える, 2.5, 0
パワースナイプ, 限界までオーラを込めた矢で300%のダメージを与える, 3, 0
スプラッシュレイン, 稲妻のように矢を降らせ300%のダメージを与える, 3, 0
ウインドレイン, 稲妻のように矢を降らせ320%のダメージを与える, 3.2, 0
ワイドフレアショット, オーラを纏った矢を複数放ち300%のダメージを与える, 3, 0
ワイドガイアショット, オーラを纏った矢を複数放ち320%のダメージを与える, 3.2, 0
フラムショット, フラムを矢で強制的に爆発させ400%のダメージを与える, 4, 0
レヘルンショット, レヘルンを矢で強制的に爆発させ400%のダメージを与える, 4, 0
ディフェンスアップ, 盾を構え、物理防御UP(微)を付与する, 2, 0
ファイアアップ, 盾を構え、火属性UP(微)を付与する, 2, 0
アクアアップ, 盾を構え、水属性UP(微)を付与する, 2, 0
グランドアップ, 盾を構え、土属性UP(微)を付与する, 2, 0
ウインドアップ, 盾を構え、風属性UP(微)を付与する, 2, 0
オールディフェンス, 盾を掲げ、物理防御UP(小)を付与する, 3, 0
オールファイア, 盾を掲げ、火属性UP(小)を付与する, 3, 0
オールアクア, 盾を掲げ、水属性UP(小)を付与する, 3, 0
オールグランド, 盾を掲げ、土属性UP(小)を付与する, 3, 0
オールウインド, 盾を掲げ、風属性UP(小)を付与する, 3, 0
フレアタックル, 盾に炎のオーラを纏わせたタックルで200%のダメージを与える, 2, 0
アクアタックル, 盾に水のオーラを纏わせたタックルで200%のダメージを与える, 2, 0
グランドダッシュ, 盾に地のオーラを纏わせたタックルで200%のダメージを与える, 2, 0
ウインドタックル, 盾に風のオーラを纏わせたタックルで200%のダメージを与える, 2, 0
パワータックル, 盾に限界までオーラを纏わせたタックルで300%のダメージを与える, 3, 0
フレイムインパクト, 武器に纏った炎のオーラを叩きつけ300%のダメージを与える, 3, 0
剣聖の太刀, 渾身の一太刀で衝撃波を飛ばし、敵全体に300%のダメージを与える, 3, 0
フレイムスラッシュ, 武器に纏った炎のオーラで強打して400%のダメージを与える, 4, 0
グランドスラッシュ, 大地のオーラを纏った十字の剣閃で400%のダメージを与える, 4, 0
パワーランサー, 力を込めた一突きで300%のダメージを与える, 3, 0
アクアランサー, 水の力を込めた一突きで250%のダメージを与える, 2.5, 0
ウインドペネトレイト, 風の力を込めた一突きで400%のダメージを与える, 4, 0
アクアシュバルツァー, 水のオーラを纏った鋭い一突きで400%のダメージを与える, 4, 0
グランドペネトレイト, 土の力を込めた一突きで400%のダメージを与える, 4, 0
ウインドシュバルツァー, 風のオーラを纏った鋭い一突きで400%のダメージを与える, 4, 0
防御の構え, 構えを取り、物理防御UP(小)を付与する, 2, 0
鉄壁の構え, 構えを取り、物理防御UP(大)を付与する, 2, 0
攻撃の構え, 構えを取り、物理攻撃UP(小)を付与する, 2, 0
殲滅の構え, 構えを取り、物理攻撃UP(中)を付与する, 3, 0
回復の構え, 構えを取り、最大ＨＰの30%回復, 0.3, 0
ウインドラッシュ, 風を纏った剣で怒涛の連続斬り。敵の物理攻撃力を下げる。, 4, 0
フレアタワー, 火柱を発生させ350%のダメージを与える, 3.5, 0
アクアタワー, 氷柱を発生させ350%のダメージを与える, 3.5, 0
グランドタワー, 土柱を発生させ350%のダメージを与える, 3.5, 0
ジーニアスウインド, 風柱を発生させ400%のダメージを与える, 4, 0
オールパワーアップ, 武器を薬に変化させ、雨のように降り注ぎ物理攻撃UP(中)を付与する, 3, 0
オールディフェンス, 武器を薬に変化させ、雨のように降り注ぎ物理防御UP(小)を付与する, 3, 0
オールスピードアップ, 武器を薬に変化させ、雨のように降り注ぎすばやさUP(小)を付与する, 3, 0
フレアガトリング, 炎の魔法を連続発射して320%のダメージを与える, 3.2, 0
アクアスプラッシュ, 水の魔法を連続発射して300%のダメージを与える, 3, 0
グランドガトリング, 土の魔法を連続発射して300%のダメージを与える, 3, 0
ウインドガトリング, 風の魔法を連続発射して320%のダメージを与える, 3.2, 0
シャインスプラッシュ, 光の魔法を連続発射して420%のダメージを与える, 4.2, 0
グランドショットガン, 天高く飛びあがり、大地の気を帯びた矢を射かけ320%のダメージを与える, 3.2, 0
ウインドショットガン, 天高く飛びあがり、風の気を帯びた矢を射かけ320%のダメージを与える, 3.2, 0
フレイムバースト, 盾に炎のオーラを集中させ放つことで300%のダメージを与える, 3, 0
フリーズバースト, 盾に氷のオーラを集中させ放つことで300%のダメージを与える, 3, 0
ガイアバースト, 盾に大地のオーラを集中させ放つことで300%のダメージを与える, 3, 0
トルネドバースト, 盾に風のオーラを集中させ放つことで300%のダメージを与える, 3, 0
炎の舞, 盾を掲げ、火傷を付与する, 3, 0
沈黙の舞, 盾を掲げ、沈黙を付与する, 3, 0
鈍足の舞, 盾を掲げ、すばやさDOWN(微)を付与する, 3, 0
盲目の舞, 盾を掲げ、暗闇を付与する, 3, 0
脱力の舞, 盾を掲げ、物理攻撃DOWN(微)を付与する, 3, 0
虚弱の舞, 盾を掲げ、物理防御DOWN(微)を付与する, 3, 0
エンゼルシュート, ハートのオーラを飛ばし380%のダメージを与える, 3.8, 0
パワーブレイク, オーラを剣に纏い280%のダメージを与える, 2.8, 0
リザレクトシャワー, 癒しの雨を降らせ、最大ＨＰの50%回復, 0.5, 0
星と月のソナタ, 星と月のオーラを飛ばし380%のダメージを与える, 3.8, 0
堅守の構え, 構えを取り、物理防御UP(中)を付与する, 2, 0
ウインドブラスト, 稲妻のように矢を降らせ300%のダメージを与える, 3, 0
ピヨリドロップ, お星様に変化させた武器を落とし250%のダメージを与える, 2.5, 0
ブラインドアロー, オーラを込めた矢で250%のダメージを与える, 2.5, 0
スリープショット, 魔力で作りだした巨大な拳で250%のダメージを与える, 2.5, 0
パワーディフェンス, 盾を構え、物理防御UP(小)を付与する, 2, 0
クラフトシュート, クラフトを作り出して、320%のダメージを与える, 3.2, 0
ヒンメルウォルツ, 華麗なる槍さばきで450%のダメージを与える, 4.5, 0
ロリポップブレード, 特別なオーラを剣に纏い300%のダメージを与える, 3, 0
ハロウィンブレード, 特別なオーラを剣に纏い400%のダメージを与える, 4, 0
ハロウィンショット, 特別なオーラを纏った矢を複数放ち320%のダメージを与える, 3.2, 0
ロリポップスパイク, 魔力で作りだした特別な力で300%のダメージを与える, 3, 0
ハロウィンスウォーム, 特殊な岩を呼び出し、320%のダメージを与える, 3.2, 0
ロリポップドロップ, 特別な物質に変化させた武器を落とし300%のダメージを与える, 3, 0
ハロウィンタワー, 特別な力が噴出して400%のダメージを与える, 4, 0
エンジェルランス, 力を込めた一突きで400%のダメージを与える, 4, 0
エンジェルアロー, 限界までオーラを込めた矢で400%のダメージを与える, 4, 0
槍　バフ, , 0, 0
槍　回復, , 0, 0
弓　バフ, , 0, 0
弓　回復, , 0, 0
メテオストーム, 火の玉を降らせて320%のダメージを与える, 3.2, 0
フロウレスシャイン, 無数の光で320%のダメージを与える, 3.2, 0
グランドランス, 槍で強力な土の衝撃波を放ち、400%のダメージを与える, 4, 0
フレアゾーン, ゾーン変更(仮), 105, 0
アクアゾーン, ゾーン変更(仮), 205, 0
ウインドゾーン, ゾーン変更(仮), 305, 0
アースゾーン, ゾーン変更(仮), 405, 0
マジックアップ, 盾を構え、魔法攻撃UP(微)を付与する, 0.1, 0
エーテルスピア, 武器にエネルギーを纏わせて敵に投げつけ400%のダメージを与える, 4, 0
フラッシュカット, 武器にエネルギーを纏わせて一閃し、敵全体に400%のダメージを与える, 4, 0
ネオンブレード, 聖なる光で切りつけて300%のダメージを与える, 3, 0
クリスマスブレード, 聖なる光で切りつけて380%のダメージを与える, 3.8, 0
ネオンショット, 聖なる光を纏った矢で300%のダメージを与える, 3, 0
クリスマスショット, 聖なる光を纏った矢で400%のダメージを与える, 4, 0
ネオンランス, 聖なる光を纏った突きで300%のダメージを与える, 3, 0
クリスマスランス, 聖なる光を纏った突きで400%のダメージを与える, 4, 0
ネオンアッパー, 聖なる魔法の拳で300%のダメージを与える, 3, 0
クリスマスアッパー, 聖なる魔法の拳で400%のダメージを与える, 4, 0
スノードロップ, 武器を雪だるまに変えて300%のダメージを与える, 3, 0
クリスマスドロップ, 武器を雪だるまに変えて400%のダメージを与える, 4, 0
ルー　アクティブスキル, , 4, 0
碧の剣閃, 風のオーラを剣に纏い330%のダメージを与える, 3.3, 0
炎の剣閃, 炎のオーラを剣に纏い330%のダメージを与える, 3.3, 0
乾坤一擲, 墨を飛ばして400%のダメージを与える, 4, 0
火栗激撃, うにを飛ばして400%のダメージを与える, 4, 0
土流衝撃波, 盾から衝撃波を飛ばして300%のダメージを与える, 3, 0
火流衝撃波, 盾から衝撃波を飛ばして300%のダメージを与える, 3, 0
クロスライド, 渾身の一太刀で450%のダメージを与える, 4.5, 0
アイストルネード, 盾に氷のオーラを集中させ放つことで200%のダメージを与える, 2, 0
アイスドロップ, 冷凍マグロに変化させた武器を落とし320%のダメージを与える, 3.2, 0
アイススマッシュ, 氷から作りだした巨大な塊で350%のダメージを与える, 3.5, 0
アイスブレード, 氷のオーラを剣に纏い350%のダメージを与える, 3.5, 0
アイスショット, 氷を纏った矢で350%のダメージを与える, 3.5, 0
アイスインパルス, 槍で強力な氷の衝撃波を放ち、350%のダメージを与える, 3.5, 0
プリティシュート, ハートのオーラを飛ばし400%のダメージを与える, 4, 0
パワーアップ+, 盾を構え、物理攻撃UP(微+)を付与する, 2, 0
マジックアップ+, 盾を構え、魔法攻撃UP(微+)を付与する, 2, 0
スウィフトバレッジ, 特注の銃に持ち替えて連射し、380%のダメージを与える, 3.8, 0
勇戦の鼓舞, 武器を掲げて100%で物理攻撃UP(中),100%で魔法攻撃UP(中)を付与する, 0, 0
アインツェルカンプ, するどい連続攻撃で、400%のダメージを与える, 4, 0
はばたき, コカトリスのスキル攻撃, 0.8, 0
ポイズンショット, インプのスキル攻撃, 1.5, 0
胞子とばし, マイコニドのスキル攻撃, 1.5, 0
増殖, マイコニドのスキル攻撃, 0.3, 0
毒ブレス, グレイフロッグのスキル攻撃, 1.5, 0
舌, グレイフロッグのスキル攻撃, 2.5, 0
花粉, トレントのスキル攻撃, 1.3, 0
マジックウェーブ, エレメントのピヨリ付与スキル攻撃, 1.2, 0
水鉄砲, デローの凍結付与スキル攻撃, 1.5, 0
衝撃のセレナーデ, マーメイドの睡眠付与スキル攻撃, 1.2, 0
不意打ち, ブルーミンクのピヨリ付与スキル攻撃, 1.5, 0
蛇の毒, ナックラヴィーのスキル攻撃, 0, 0
山羊の魔法, ナックラヴィーのスキル攻撃, 2.5, 0
獅子のおたけび, ナックラヴィーのスキル攻撃, 1.5, 0
ナックルクエイク, ホブゴブリンのスキル攻撃, 1.5, 0
毒胞子とばし, ポイズンマイコニドのスキル攻撃, 1.5, 0
マヒ胞子とばし, シビレマイコニドのスキル攻撃, 1.5, 0
遠吠え, ウォルフのスキル攻撃, 0, 0
襲撃の遠吠え, ウォルフのスキル攻撃, 0, 0
抗戦の遠吠え, ウォルフのスキル攻撃, 0, 0
俊敏の遠吠え, ウォルフのスキル攻撃, 0, 0
睡魔の叫び, バンシーのスキル攻撃, 1.5, 0
呪いの叫び, バンシーのスキル攻撃, 1.5, 0
遅延の叫び, バンシーのスキル攻撃, 1.5, 0
燃焼の叫び, ジャック・オー・ランタンのスキル攻撃, 1.5, 0
ぷにローリン, ぷにぷにのスキル攻撃, 2, 0
メガローリン, ぷにぷにのスキル攻撃, 2, 0
凍結胞子とばし, マイコニドのスキル攻撃（確認用）, 1.5, 0
暗闇胞子とばし, マイコニドのスキル攻撃（確認用）, 1.5, 0
石化胞子とばし, マイコニドのスキル攻撃（確認用）, 1.5, 0
ピヨり胞子とばし, マイコニドのスキル攻撃（確認用）, 1.5, 0
ウニ投げ, ゴブリンのスキル攻撃, 2, 0
乱れ糸, 大蜘蛛のスキル攻撃, 2, 0
糸吐き, グレイスパイダーのスキル攻撃, 2, 0
ボーンショット, スケルトンのスキル攻撃, 2, 0
号令, 盗賊の親分のスキル攻撃, 0, 0
シャッフル, ブラックコーシュのスキル攻撃, 0, 0
ジョーカー, ブラックコーシュのスキル攻撃, 1.5, 0
スキルブレイク, スキルゲージダウン, 70, 0
沈黙の花粉, オータムトレントのスキル攻撃, 1.3, 0
燃焼の叫び, ジャック・オー・ランタンのスキル攻撃, 1.5, 0
フレアゾーン Lv1, ゾーン変更, 101, 0
フレアゾーン Lv2, ゾーン変更, 102, 0
フレアゾーン Lv3, ゾーン変更, 103, 0
フレアゾーン Lv4, ゾーン変更, 104, 0
フレアゾーン Lv5, ゾーン変更, 105, 0
アクアゾーン Lv1, ゾーン変更, 201, 0
アクアゾーン Lv2, ゾーン変更, 202, 0
アクアゾーン Lv3, ゾーン変更, 203, 0
アクアゾーン Lv4, ゾーン変更, 204, 0
アクアゾーン Lv5, ゾーン変更, 205, 0
ウインドゾーン Lv1, ゾーン変更, 301, 0
ウインドゾーン Lv2, ゾーン変更, 302, 0
ウインドゾーン Lv3, ゾーン変更, 303, 0
ウインドゾーン Lv4, ゾーン変更, 304, 0
ウインドゾーン Lv5, ゾーン変更, 305, 0
アースゾーン Lv1, ゾーン変更, 401, 0
アースゾーン Lv2, ゾーン変更, 402, 0
アースゾーン Lv3, ゾーン変更, 403, 0
アースゾーン Lv4, ゾーン変更, 404, 0
アースゾーン Lv5, ゾーン変更, 405, 0
絶風, ドラゴンのスキル攻撃, 2, 0
衝撃波, ドラゴンのスキル攻撃, 2, 0
沈黙の叫び, ビッグバンシーのスキル攻撃, 1.5, 0
しびれローリン, , 2, 0
風精のいたずら, ラジアータのスキル攻撃, 2, 0
火精のいたずら, リコリスのスキル攻撃, 2, 0
ポイズンシャワー, カエルのスキル攻撃, 2, 0
トリック, コーシュのスキル, 2, 0
ちょこポイズン, , 1, 0
ちょこファイアダウン, , 1, 0
ちょこバフ, , 0, 0
ちょこヒール, , 0.05, 0
ちょこぷにラブアタック, , 2, 0
ごーれむラブアタック, , 2, 0
ちょこスマッシュ, , 3.5, 0
鉄壁, 体質変化・物理を付与する, 0, 0
ごーれむラブマックス, , 3, 0
ごーれむヒール, , 0.3, 0
ごーれむクエイク, , 2.5, 0
リバイブ, , 0.3, 0
オールリバイブ, , 0.3, 0
クリティカルショット, , 0, 0
スラグファイヤ, , 2, 0
スピードアップ, , 0, 0
バイオアタック, 魔物の毒付与全体攻撃スキル, 2, 0
バーンストーム, 魔物の火傷付与単体攻撃スキル, 2.8, 0
バーンストーム, 魔物の火傷付与単体攻撃スキル, 3, 0
バーンストーム, 魔物の火傷付与単体攻撃スキル, 3.2, 0
ダウンボーンα, 物防と魔防下げ, 1.8, 0
アップボーンα, 物攻とすばやさ上げ, 0, 0
モスヒート, 魔物の火傷付与全体攻撃スキル, 1.6, 0
タイラントボーン, 魔物のマヒ、スロウ、物攻ダウン、SP増加率ダウン付与単体攻撃スキル, 2.2, 0
ダウンボーンβ, 魔攻とSP増加下げ, 1.8, 0
毒の大波, 全体水属性攻撃　＋　毒　100％, 1.5, 0
収束水鉄砲, 単体攻撃, 1.5, 0
土糸締め, 全体土属性攻撃：スロウ 100%, 0.75, 0
土糸縛り, 全体無属性攻撃 ＋ 土属性-25 3ターン, 0.8, 0
土糸発射, 単体土属性攻撃：スロウ 100%, 1.25, 0
縛りの粘糸, 単体攻撃：スロウ 100%, 1.2, 0
マヒねぶり, 単体攻撃：麻痺　50%, 1.1, 0
サイレンスシャワー, 全体火属性攻撃：沈黙 30%, 0.75, 0
サイレンスシャワー, 全体水属性攻撃：沈黙 30%, 0.75, 0
サイレンスシャワー, 全体風属性攻撃：沈黙 30%, 0.75, 0
シュ・ヴィン, 単体魔法風属性攻撃, 1.3, 0
ルヒ・ヴェル, 全体魔法属性攻撃　　：沈黙 30%, 0.75, 0
ブラ・ヴィン, 全体魔法風属性攻撃, 0.85, 0
シュ・ヴェル, 全体魔法無属性攻撃 ＋ 風属性-25 3ターン, 0.8, 0
ヴィン, 単体魔法風属性攻撃, 1.2, 0
ハイル, 全体ヒール　15%回復, 0.15, 0
睡魔のはばたき, 全体火属性攻撃：眠り 50%, 0.75, 0
腐食の風, 全体無属性攻撃 ＋ 火属性-25 3ターン, 0.75, 0
火炎胞子, 単体火属性攻撃　：眠り　50%, 1.4, 0
ぷにスピット, 全体魔法水属性攻撃：物理防御力　30%DOWN, 0.8, 0
ぷにメルト, 全体魔法無属性攻撃 ＋ 水属性-25 3ターン, 0.75, 0
ぷにカース, 単体魔法無属性攻撃＋呪い　20%, 1.2, 0
必滅の破槍, 単体瀕死攻撃, 0, 0
紫煙の魔香, 全体無属性の魔法攻撃 ＋ 毒　100%, 0.75, 0
イア・ルーク, 単体攻撃：暗闇, 1.2, 0
フア・バイタン, 全体バフ／魔攻・物防・素早さ15％アップ, 0, 0
スリープチャージ, 単体攻撃：眠り, 1.2, 0
ポイズンチャージ, 単体攻撃：毒, 1.2, 0
ぷにブレイク, 単体魔法攻撃：物理防御力30%DOWN, 1.2, 0
逃走, ターン制御の逃走, 3, 0
仲間を呼ぶ, , 0.3, 0
タイダルスフィア, 水の力を凝縮させ500%のダメージを与える, 5, 0
灼熱イカブレード, アッツアツのイカでぶった切り450%のダメージを与える, 4.5, 0
真夏の芳風, 団扇により熱い空気を作り出し200%のダメージを与える, 2, 0
むしとりあそび, 童心を力に変えて地面に叩きつけ、250%のダメージを与える, 2.5, 0
秘剣・落花流水, 渾身の一太刀で450%のダメージを与える, 4.5, 0
突進準備, イノシシのスキル攻撃, 5036, 0
突進, イノシシのスキル攻撃, 5, 0
しびれ針, ハリネズミのスキル攻撃, 1.2, 0
毒突進, イノシシのスキル攻撃, 1.5, 0
砂塵, 全体地属性+暗闇　汎用物理スキル, 0.75, 0
毒牙, 単体無属性+毒　汎用物理スキル, 2.5, 0
ローリングアタック, ハリネズミのスキル攻撃, 2, 0
コーリングスター, 輝く光で敵単体に450%のダメージを与える。, 4.5, 0
アルク・ウィータ（♂）, 渾身の攻撃を行い、敵全体に200%のダメージを与え、物理攻撃力と物理防御力を下げる。, 2, 0
アルク・ウィータ（♂）, 渾身の攻撃を行い、敵全体に200%のダメージを与え、物理攻撃力と物理防御力を下げる。, 2, 0
アルク・ウィータ（♂）, 渾身の攻撃を行い、敵全体に200%のダメージを与え、物理攻撃力と物理防御力を下げる。, 2, 0
アルク・ウィータ（♂）, 渾身の攻撃を行い、敵全体に200%のダメージを与え、物理攻撃力と物理防御力を下げる。, 2, 0
アルク・ウィータ（♂）, 渾身の攻撃を行い、敵全体に200%のダメージを与え、物理攻撃力と物理防御力を下げる。, 2, 0
アルク・ウィータ（♂）, 渾身の攻撃を行い、敵全体に200%のダメージを与え、物理攻撃力と物理防御力を下げる。, 2, 0
アルク・ウィータ（♀）, 渾身の攻撃を行い、敵全体に200%のダメージを与え、物理攻撃力と物理防御力を下げる。, 2, 0
アルク・ウィータ（♀）, 渾身の攻撃を行い、敵全体に200%のダメージを与え、物理攻撃力と物理防御力を下げる。, 2, 0
アルク・ウィータ（♀）, 渾身の攻撃を行い、敵全体に200%のダメージを与え、物理攻撃力と物理防御力を下げる。, 2, 0
アルク・ウィータ（♀）, 渾身の攻撃を行い、敵全体に200%のダメージを与え、物理攻撃力と物理防御力を下げる。, 2, 0
アルク・ウィータ（♀）, 渾身の攻撃を行い、敵全体に200%のダメージを与え、物理攻撃力と物理防御力を下げる。, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
アドバンスエレメント, 全体四属性物理攻撃＋スロウ, 8, 0
アドバンスエレメント, 全体四属性物理攻撃＋スロウ, 9, 0
アドバンスエレメント, 全体四属性物理攻撃＋スロウ, 10, 0
アドバンスエレメント, 全体四属性物理攻撃＋スロウ, 11, 0
アドバンスエレメント, 全体四属性物理攻撃＋スロウ, 12, 0
ミューテルフロー, 全体水魔法攻撃＋味方HP回復, 0, 0
【ミューテルフロー Lv1】全体水魔法攻撃, , 7.5, 0
【ミューテルフロー Lv1】味方HP回復, , 3, 0
ミューテルフロー, 全体水魔法攻撃＋味方HP回復, 0, 0
【ミューテルフロー Lv2】全体水魔法攻撃, , 8, 0
【ミューテルフロー Lv2】味方HP回復, , 3.5, 0
ミューテルフロー, 全体水魔法攻撃＋味方HP回復, 0, 0
【ミューテルフロー Lv3】全体水魔法攻撃, , 8.5, 0
【ミューテルフロー Lv3】味方HP回復, , 4, 0
ミューテルフロー, 全体水魔法攻撃＋味方HP回復, 0, 0
【ミューテルフロー Lv4】全体水魔法攻撃, , 9, 0
【ミューテルフロー Lv4】味方HP回復, , 4.5, 0
ミューテルフロー, 全体水魔法攻撃＋味方HP回復, 0, 0
【ミューテルフロー Lv5】全体水魔法攻撃, , 9.5, 0
【ミューテルフロー Lv5】味方HP回復, , 5, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
不思議なレシピ, 何かとんでもないものを調合して敵全体にダメージを与え、味方全体の物理攻撃、魔法攻撃力を上昇させる。, 0, 0
【不思議なレシピ Lv1】全体物理攻撃, , 7.5, 0
【不思議なレシピ Lv1】味方攻撃上昇, , 0, 0
【不思議なレシピ Lv1】味方魔法攻撃上昇, , 0, 0
不思議なレシピ, 何かとんでもないものを調合して敵全体にダメージを与え、味方全体の物理攻撃、魔法攻撃力を上昇させる。, 0, 0
【不思議なレシピ Lv1】全体物理攻撃, , 8, 0
【不思議なレシピ Lv1】味方攻撃上昇, , 0, 0
【不思議なレシピ Lv1】味方魔法攻撃上昇, , 0, 0
不思議なレシピ, 何かとんでもないものを調合して敵全体にダメージを与え、味方全体の物理攻撃、魔法攻撃力を上昇させる。, 0, 0
【不思議なレシピ Lv1】全体物理攻撃, , 8.5, 0
【不思議なレシピ Lv1】味方攻撃上昇, , 0, 0
【不思議なレシピ Lv1】味方魔法攻撃上昇, , 0, 0
不思議なレシピ, 何かとんでもないものを調合して敵全体にダメージを与え、味方全体の物理攻撃、魔法攻撃力を上昇させる。, 0, 0
